sentence_id	sentence	sentence_domain	source
009c513a612815c9709cea02ff383f405c1bcf79630f2aed35407fdc7c49ebe5	anak-anaknya kapiran karena ibunya terlalu sibuk dan jarang berada di rumah		example sentences from dictionaries
00d8b38e3fad3d7600c1351e7a2bfbb2ef8a3f6e09d3fae3b39285d45a2097a4	barang itu telah dicarinya bermati-mati, tetapi tidak ditemukan juga		example sentences from dictionaries
00f3cce726bf0a2703850ac8a52d6aca43bbf27c83ac941f494162a944646707	bukan timbangannya melawan dia		example sentences from dictionaries
03ac1481a90895fbed57951b8b956b691286ee40de05d3f471fc0872d0297ac7	anjingnya penyalak apabila ada orang lain lewat di depan rumah pemiliknya		example sentences from dictionaries
03fdfed1e999dfc2d208f4d10767766fcab11c83af76c1399ff3115a12294492	Baginda pun menaiki ratanya		example sentences from dictionaries
04d882af5f8ba6b602149d452e05937109ac0b83267f9347b73cc4956e714be3	apatah gunanya harta benda bertumpuk jika jiwa kita menderita		example sentences from dictionaries
0503890b3d5d02ea59960a3f6e18f45e51ff6af1c00255b420e6f1e1e04898ac	Kain dalam acar dikutip cuci ia hendak ke longkang lagi		Peribahasa Indonesia (Common Indonesian sayings/proverbs)
05bf9551a6eb0e00cfcfc60b7856ee14844b962b5a1f87d7b464d0a44f6be224	Saya biasanya bangun pagi untuk menyiapkan sarapan.	general	Self Citation
05de204c8523f0aa320b233b3d11a49d36fad53da795e82ca0efa26b10d3f5d5	Deema Al Asadi - Deema Al Asadi is a beauty blogger.		https://hf.co/datasets/nyuuzyou/chatgpt-in-russia-qa
064bf986637c62c6cf4c8bf9b8c5efc637ee567c363789841e08cc8dff25fe76	Anak seorang, penaka tidak		Peribahasa Indonesia (Common Indonesian sayings/proverbs)
06dbbb8dabd2ec4baefb6a6ea77cf5d968c9548aa0348fd7f59351ad6bf156bc	arti perkataan itu baik diterangkan dengan kial		example sentences from dictionaries
0885ba19df6ed5b550170566de8e0efd50a104c216f6bc46dd7ba34d54fa05fe	Perkataan yang menyenangkan itu seperti sarang madu, manis bagi jiwa, dan menyembuhkan bagi tulangtulang.		Amsal Salomo
092ef1390345cc6a31714e065916ae81be5fef66c36ce447d1a4bb2fd188791c	Bularning ajratmasida, Fazilning ishtirokidan tortayotgan avatar-guruhida tajrobe yuzasidan turib turishdi.		https://hf.co/datasets/nyuuzyou/chatgpt-in-russia-qa
093d605037b792a99633076445910df5c85dcaf59b8bfda9b8e8773ea6818713	Tom, Mary, dan John sedang berada di dapur.		http://tatoeba.org
09c8f90b5beddfd036589d2e442bdc5062d33f67538839750a7f934390b2821c	Aku akan menjual perhiasannya kepada para pelanggan.		http://tatoeba.org
09cc1330829a12274ae4d884fa40099e695330ebfb54db6f502350ce45227685	besar kecilnya bantuan Pemerintah terhadap rencana pemindahan itu bergantung pada besar kecilnya dana		example sentences from dictionaries
09d476038004a6e54fbae4ce5c7b1f8ddab5e2d39da3e8a7df14cf596bb5bab7	Tom mempertimbangkan untuk bergabung dengan militer.		http://tatoeba.org
09d70c0e60f1812d847ed64532619735f6e274de5d9c6c11b24eb11eea6deef6	Selamat hari kemerdekaan!		http://tatoeba.org
09dc2b842c9cb4c57e1b0cd0bcf6d393976cfdb70d8317421a4bad76d7fbe71e	Tom bergeser untuk membiarkannya lewat.		http://tatoeba.org
09df3217420a004b11aeaf78579f0d2f60c74811cf8e0e5ea6248b94a8f189bc	Satu hal yang aku tahu, aku tidak tahu apa-apa.		http://tatoeba.org
09e46a8569640c79efc76fb17c636dda772241e9e37705d0df751780282e4d1b	Kelekatu hendak terbang ke langit		Peribahasa Indonesia (Common Indonesian sayings/proverbs)
09f325c49ec2319fd91edc9d3cc4112c25aa305ff30dff95a57ff8826927bd94	Apa pelajaran favoritmu?		http://tatoeba.org
09f327439c11ac3503f6b86583db0f7ccfddb316224ac15cb5b4a1a041c0cef3	apa yang dikatakannya itu benar		example sentences from dictionaries
0a03250b69a62a9be4c1306c3692a88e27197b85834454bafb3ee9f4a9f036e7	Aku tadi beli kue sus, kamu mau?		http://tatoeba.org
0a0488c517450bb1d2b7de308223d32622d25d6682229ac8b984851a7bde085f	anak itu mengingsutkan duduknya ke samping ibunya		example sentences from dictionaries
0a0921ff7ae2466408207233333011e513a416268615a76c5eb0f768ac0f4ead	Sayangnya!		http://tatoeba.org
0a127a10e0896eb25f3d61beeea3c54ba4d9f8c6bdaea6e802aeafb24d8eeda0	Udin bekerja di lapangan pendidikan		example sentences from dictionaries
0a16fd3804c99d96c533bcac9764ee7e431dbc6fa87a60df79bd1870120e78a8	Itu sepenuhnya terserah padamu.		http://tatoeba.org
0a17818739bd34422ff4eca814aca783b234a4a75f3f2461df83bee950d61710	Itu hanya mimpi buruk.		http://tatoeba.org
0a1a3f8904a24bf5c193d990676decb31d80a82836a47883b980158d5d2b5e28	bendahara merangkap penulis		example sentences from dictionaries
0a1c1a068c73c2705454969e434f0b65872026b5314d8ff75b6ab2b0b2729db5	Aku benar-benar cuma ingin pergi.		http://tatoeba.org
0a1dc10e7b97c03007fdb31c22ec221880c22716e766cb8e05d89e6907c243e4	Tapi tidak ada yang percaya padanya.		http://tatoeba.org
0a1e248390b1b59630a248c329274933fc2c44ae1bacf42e0f314bea8a3a3a0c	Kamu pasti lelah.		http://tatoeba.org
0a2aa9936e8213fe84a164f82dcfcfddd10e7080d37393591c054a59c0d3c7ed	berita pembunuhan yang sadis itu menggidikkan bulu roma		example sentences from dictionaries
0a2d61d2504da08da488d528a6c744d89e5d3e5c36bbed598aa437f75ac8e92f	buih air laut yang membakat di pantai		example sentences from dictionaries
0a2d72b34db3f8e4fdef1f332ef39eeb22e83e592cc3025e6871a0012c58b0b1	Saya sudah memesan yang pukul enam tiga puluh.		http://tatoeba.org
0a3083e00c034c7b4ce968baa51da9522c84b355b3f2d0415b2f3969ffa9818f	Bibir saya bukan diretak panas		Peribahasa Indonesia (Common Indonesian sayings/proverbs)
0a31075770ec50973ffa058161be2d5c0ae55d6adaabc1521a400b398d529399	Dia cantik dari jauh.		http://tatoeba.org
0a314744de613fc08c8b35b24fc6681647ae307415266adffe84467a3bae1311	Aku membayar dua ratus dolar untuk pajak.		http://tatoeba.org
0a35052a4f679ef1ce9d444033236380df87f989f66b43f2d4dd3e9e7f94fed7	Tom mematikan lampunya.		http://tatoeba.org
0a3582103160cb0cab294075c833b2a4a249068c6d4b7431414e3834b13250d7	Aku tidak berniat mempermalukanmu.		http://tatoeba.org
0a3ed77fcb42b0ae1dd9e894558d609204e44c2d80589bd1e3c76726e9f32661	Tom lumayan bagus.		http://tatoeba.org
0a52107bfba915c8a861dccea4092f136bfec05f2017caa896ba593444469b48	Dia benar-benar seorang yang baik.		http://tatoeba.org
0a55a4e2e27e1d059c9acbf4835ae77bc2b9208c7b0c8a608ddf9ed98f82f031	Adat menyabung, adat gelanggang		Peribahasa Indonesia (Common Indonesian sayings/proverbs)
0a5aeae5395f81e011f0ad1699cb7ae45170ab3751f80b9df296369a9c5e523f	batas-batasnya yang asal sudah tidak diketahui lagi		example sentences from dictionaries
0a63819904cd1adbf3887954ea2dfdbeab6b3002d5d43ea19debae62b23d5ef6	bangsa Melayu sejati		example sentences from dictionaries
0a64834394699a01e4206a365e8ed3bf520983ca57b05da041154f066d01730c	bahaya api sering terjadi di kota-kota besar		example sentences from dictionaries
0a708dc354849bf2c11d897e3c4f1bb0937ef890378e8edd0645caadb7ce41c6	banyak pengusaha asing ingin menanam modal di Indonesia		example sentences from dictionaries
0a72d668e446b06363f3870e42326c40420b997cfa713fcf744fc394b9d43124	Diam-diam penggali berkarat, diam-diam ubi berisi		Peribahasa Indonesia (Common Indonesian sayings/proverbs)
0a78ca5654999cd3151979504224ce70a60886173da72dc7f29d756f0d4de34e	berdasarkan akta notaris, pendirian yayasan itu sudah sah		example sentences from dictionaries
0a80c7e29e5e9c4fb4779a96e38bd1942125ea8dab463ce6ac13f46a02e05fc8	Dan di situlah letak perbedaannya.		http://tatoeba.org
0a8cac4e7a178b3e23655fde0b85e4f215966e56827b5096969cd1b813f4d340	bahasa asing itu dirasakan dapat membantu pengungkapan manusia secara verbal dengan lebih teliti		example sentences from dictionaries
0a9416f2d80d87a9aa472c9600c33b070df43df0cdedf099c37b9bc71fa2f120	Gadis ini membuatku gila.		http://tatoeba.org
0a95d44538aea600c9bedfa2fa2c2c948bfd8ff3d36e0c6f0a633856f5e1e6b4	Silakan isi Pemberitahuan Pabean.		http://tatoeba.org
0a971ba87fecbf0ec7fdedef857e309a3931a4a095fddc27ff4125cb28d78567	niat itu timbul dari hati yang hening		example sentences from dictionaries
