sentence_id	sentence	locale	reason
40a34c34c833d98a9718aede80efed3c0eca48a06d4484910f3087f154844c67	Jalan itu dibatas dari jalan dengan pagar.	id	grammar-or-spelling
53af376dfa814c22bfe07ac60a30774f2e842c33bf01957d6f862c909b747015	dehidrasi disebabkan kurang nya cairan yang ada tubuh.	id	grammar-or-spelling
40a34c34c833d98a9718aede80efed3c0eca48a06d4484910f3087f154844c67	Jalan itu dibatas dari jalan dengan pagar.	id	grammar-or-spelling
439a07a67b69164a23bb199cbbf2a3b5c0297d36113e436faa76eddc8198e01d	Tom menikahi perempuan yang lebih mudah dari dirinya.	id	grammar-or-spelling
53af376dfa814c22bfe07ac60a30774f2e842c33bf01957d6f862c909b747015	dehidrasi disebabkan kurang nya cairan yang ada tubuh.	id	grammar-or-spelling
5adef41292ec66abc49bd1c7317b3adde9f2cb279b03b3df53e912ecea4b4564	Dia memiliki banyak untang.	id	grammar-or-spelling
529388de2153f8984bb26d01fdf166bd036542f7a418fc6642df098c12d3e23d	Jika kau tidak malu, lakukankanlah sesukamu.	id	grammar-or-spelling
662d972e1dc50e99259a3c26eae12493511624c10d6502e59255fc09681b68d1	Bisakan itu diungkapkan dengan cara lain?	id	grammar-or-spelling
439a07a67b69164a23bb199cbbf2a3b5c0297d36113e436faa76eddc8198e01d	Tom menikahi perempuan yang lebih mudah dari dirinya.	id	grammar-or-spelling
65e08952e28d473d0fd5a704493e70c2d9d1f113a2ab5c2eaae6e02ab87e99d1	Antrian nya cukup panjang	id	avfdvg
1729e4a01324075fabfcb9331b33cd3b1db915e4f8798da36e505fc31b7b57d2	Tidak semua buku yang di atas meja miliki saya.	id	grammar-or-spelling
439a07a67b69164a23bb199cbbf2a3b5c0297d36113e436faa76eddc8198e01d	Tom menikahi perempuan yang lebih mudah dari dirinya.	id	grammar-or-spelling
529388de2153f8984bb26d01fdf166bd036542f7a418fc6642df098c12d3e23d	Jika kau tidak malu, lakukankanlah sesukamu.	id	grammar-or-spelling
246286278c41ed0d845234c6d567f5ece85c936285024e87cdbdf91dfa28195d	Kemaren saya menerima suratnya.	id	grammar-or-spelling
52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	Hari ini saya datang terlambat	id	offensive-language
52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	Hari ini saya datang terlambat	id	grammar-or-spelling
52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	Hari ini saya datang terlambat	id	different-language
52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	Hari ini saya datang terlambat	id	difficult-pronounce
52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	Hari ini saya datang terlambat	id	spam
64678454eeea0c30d3a1f6d1293e06a53c77405f49f561b6f93134fa3d373170	Kalau bertaruh ke kuda itu mungkin menang.	id	different-language
6c8a2118976ec3044ad6d31529e10a513b1100524eb80c7c0f230e476c1d3170	Jendela terbuka.	id	offensive-language
6c8a2118976ec3044ad6d31529e10a513b1100524eb80c7c0f230e476c1d3170	Jendela terbuka.	id	grammar-or-spelling
