clip	duration[ms]
common_voice_id_36987068.mp3	7308
common_voice_id_26593292.mp3	1980
common_voice_id_20954568.mp3	4416
common_voice_id_20867342.mp3	2448
common_voice_id_27299878.mp3	3060
common_voice_id_39599833.mp3	2844
common_voice_id_25460498.mp3	4644
common_voice_id_27404691.mp3	2556
common_voice_id_20985683.mp3	4344
common_voice_id_25971959.mp3	6192
common_voice_id_21194429.mp3	1896
common_voice_id_35627892.mp3	4500
common_voice_id_26268888.mp3	6264
common_voice_id_19338538.mp3	2976
common_voice_id_25957337.mp3	5508
common_voice_id_33325035.mp3	2592
common_voice_id_26011138.mp3	4968
common_voice_id_40988077.mp3	4284
common_voice_id_20954960.mp3	3144
common_voice_id_25556269.mp3	2700
common_voice_id_27457635.mp3	2232
common_voice_id_35323641.mp3	5148
common_voice_id_25451178.mp3	3600
common_voice_id_25449455.mp3	2880
common_voice_id_26269259.mp3	4860
common_voice_id_35372514.mp3	4608
common_voice_id_35627773.mp3	4716
common_voice_id_25303117.mp3	3600
common_voice_id_25348432.mp3	5508
common_voice_id_25957075.mp3	5040
common_voice_id_25165121.mp3	4608
common_voice_id_21194586.mp3	1656
common_voice_id_25434316.mp3	3564
common_voice_id_19986866.mp3	3336
common_voice_id_25406948.mp3	4140
common_voice_id_27649699.mp3	3600
common_voice_id_25045788.mp3	8352
common_voice_id_25290402.mp3	3528
common_voice_id_20970854.mp3	4632
common_voice_id_23769368.mp3	4056
common_voice_id_21705365.mp3	3024
common_voice_id_25287200.mp3	3600
common_voice_id_27374066.mp3	2196
common_voice_id_32939119.mp3	5328
common_voice_id_26565773.mp3	2988
common_voice_id_19192628.mp3	5184
common_voice_id_20953363.mp3	5304
common_voice_id_26250560.mp3	6156
common_voice_id_25411958.mp3	3060
common_voice_id_21448071.mp3	3792
common_voice_id_27300829.mp3	2556
common_voice_id_20994026.mp3	4848
common_voice_id_19080236.mp3	4224
common_voice_id_20996470.mp3	3096
common_voice_id_36317782.mp3	2988
common_voice_id_25449603.mp3	2628
common_voice_id_27830086.mp3	3816
common_voice_id_27943200.mp3	3996
common_voice_id_43386626.mp3	4392
common_voice_id_25486635.mp3	3600
common_voice_id_41969587.mp3	3276
common_voice_id_25294922.mp3	4104
common_voice_id_20955014.mp3	3120
common_voice_id_27473945.mp3	3996
common_voice_id_25294894.mp3	3852
common_voice_id_25128882.mp3	4356
common_voice_id_33325103.mp3	2916
common_voice_id_27203605.mp3	2808
common_voice_id_25968486.mp3	4788
common_voice_id_36921593.mp3	2772
common_voice_id_19827644.mp3	3336
common_voice_id_19800543.mp3	2904
